1,Mastodon,280,Deep Sea Creature
2,Casual,218,b
3,The Box Tops,148,Soul Deep
4,Sonora Santanera,177,Amor De Cabaret
5,Adam Ant,233,Something Girls
6,Go,209,Face the Ashes
7,Jeff And Sheri Easter,267,The Moon And I (Ordinary Day Album Version)
8,Rated R,114,Keepin It Real (Skit)
9,Tweeterfriendly Music,189,Drop of Rain
10,Planet P Project,269,Pink World
11,Clp,266,Insatiable (Instrumental Version)
12,JennyAnyKind,218,Young Boy Blues
13,Wayne Watson,245,The Urgency (LP Version)
14,Andy Andy,226,La Culpa
15,Bob Azzam,191,Auguri Cha Cha
16,Lionel Richie,307,Tonight Will Be Alright
17,Blue Rodeo,491,Floating
18,Richard Souther,228,High Tide
19,Faiz Ali Faiz,599,Sohna Nee Sohna Data
20,Tesla,290,Caught In A Dream
21,lextrical,165,Synthetic Dream
22,Jimmy Wakely,151,Broken-Down Merry-Go-Round
23,Alice Stuart,220,Kassie Jones
24,Elena,269,Setanta matins
25,The Dillinger Escape Plan,207,Setting Fire to Sleeping Giants
26,SUE THOMPSON,124,James (Hold The Ladder Steady)
27,Five Bolt Main,225,Made Like This (Live)
28,Clp,338,Superconfidential
29,Tim Wilson,186,I Think My Wife Is Running Around On Me (Taco Hell)
30,Willie Bobo,168,Spanish Grease
31,Faye Adams,156,Crazy Mixed Up World
32,Terry Callier,342,Do You Finally Need A Friend
33,John Wesley,484,The Emperor Falls
34,The Shangri-Las,164,Twist and Shout
35,Billie Jo Spears,133,It Makes No Difference Now
36,b,173,Laws Patrolling (Album Version)
37,Sierra Maestra,313,\xc2\xbfD\xc3\xb3nde va Chichi?
38,Butthole Surfers,450,Barking Dogs
39,Despina Vandi,303,OUTE ENA EFHARISTO
40,Javier Navarrete,128,Midnight Swim
41,Jacob Young,456,In A Subtle Way
42,b,198,Spin
43,The Suicide Machines,95,Burning In The Aftermath
44,The Rolling Stones,271,Angie (1993 Digital Remaster)
45,Roberto Torres,226,Sabor Guajiro
46,Loudon Wainwright III,190,Human Cannonball
47,RL Burnside,277,Glory Be
48,Stevie Ray Vaughan,248,Crossfire
49,John Hammond,195,b
50,Casiotone For The Painfully Alone,175,Nashville Parthenon
51,Ec8or,217,Cocain Ducks
52,The New York Dolls,344,Human Being
53,Eliane Elias,251,The More I See You
54,Lost Boyz,269,Certain Things We Do
55,The Germs,206,Forming
56,Yamandu Costa,190,Mafu\xc3\xa1
57,Chris Rea,241,Driving Home For Christmas
58,Perrey And Kingsley,122,Spooks In Space
59,Eurythmics,207,Tous Les Gar\xc3\xa7ons Et Les Filles
60,Francis Dunnery,300,Too Much Saturn
61,John Cale,228,Movement 4 [from Kiss] (Album Version)
62,Suzanne Ciani,239,Stream
63,Vickie Winans,228,Make Me Over
64,The Berzerker,165,Deform (live)
65,Kings Of Leon,187,Wicker Chair
66,Edith Lefel,276,b
67,Taras,200,b
68,NOFX,144,Stickin In My Eye
69,Murskahumppa,285,Ota kiinni
70,Soda Stereo,246,Entre Can\xc3\xadbales
71,Bruce Rowland,84,Rosemary Recalls
72,Xcultures,273,Sudanese Dance
73,White Heart,298,Where The Thunder Roars (Tales Of Wonder Album Version)
74,Heavy D / McGruff,161,Wanna Be A Player
75,Van Halen,209,Panama (Remastered Album Version)
76,Black Eyed Peas,229,b
77,Nine Inch Nails,426,Metal
78,Nick Cave & The Bad Seeds,269,She Fell Away (2009 Digital Remaster)
79,Nadine Renee,249,Next Time
80,Lesley Gore,136,b
81,Smartbom,233,Complicate It
82,Suburbs,187,Monde De Fou
83,Emperor,72,Opus a Satana (Part 2)
84,Julien Clerc,272,This Melody (Live)
85,Glen Campbell,142,b
86,TG Sheppard,194,You Feel Good All Over
87,Slim Whitman,195,Indian Love Call
88,Savage Garden,118,You Can Still Be Free
89,Queens Of The Stone Age,288,I Never Came
90,Hank Penny & The Lincoln Penny Orchestra,123,Dixie
91,Inspiral Carpets,283,Commercial Reign
92,Borialis,239,Hourglass
93,The Dirty Skirts,206,Wake
94,Flor Silvestre,134,Caricia Y Herida
95,B\xc3\xa9zu,285,Le tortillard
96,Redman,124,WKYA (drop)
97,Solistiyhtye Suomi,134,Ter\xc3\xa4slintu
98,Eddie Cantor,155,b
99,Schizoid,275,Grim Prospects (Gross Prospects - Bad Trip Remix)
100,Kai Winding,223,Mangos
101,Sonny Simmons,443,A Distant Voice
102,Mira,177,Openbare Weg
103,Citizen Kaned,385,President Johnson
104,The Brooklyn Tabernacle Choir,324,Lead Me Lord
105,Ellen McIlwaine,275,Spontanous Combustion
106,Vince Guaraldi / Bola Sete,294,Choro
107,Maurice Chevalier,193,Ma Louise
108,Carl Cox Vs Yousef,357,I Want You (Forever)
109,Organized Konfusion,198,Hate
110,Martina McBride,261,b
111,Horace Andy,176,Thank You Lord
112,Nazz,220,How Can You Call That Beautiful (Stewkey Vocal)
113,Tyrone Davis,235,b
114,Hot Tuna,239,Candy Man
